"term","frequency","type_"
"000",5,"ARTICLE"
"000",8,"BOOK_CHAPTER"
"000",10,"ABSTRACT"
"000",88,"BOOK"
"0000",170,"ABSTRACT"
"0000220701755455",1,"PATENT"
"0000486",1,"ABSTRACT"
"0001",40,"ABSTRACT"
"0002",89,"ABSTRACT"
"0003",44,"ABSTRACT"
"000543",1,"ABSTRACT"
"0008",2,"ABSTRACT"
"0009",2,"ABSTRACT"
"0009",6,"ARTICLE"
"000g",2,"ARTICLE"
"000years",2,"ARTICLE"
"001",4,"SPEAKER"
"001",5,"ABSTRACT"
"001",12,"ARTICLE"
"001",16,"BOOK_CHAPTER"
"002",1,"ARTICLE"
"002",2,"ABSTRACT"
"0021",2,"ARTICLE"
"003",1,"SPEAKER"
"003",2,"ABSTRACT"
"003",2,"ARTICLE"
"0037",7,"ARTICLE"
"004",2,"ARTICLE"
"00420",1,"ABSTRACT"
"00441845",2,"ABSTRACT"
"004x",2,"ABSTRACT"
"005",4,"ABSTRACT"
"006",2,"ABSTRACT"
"006",8,"BOOK_CHAPTER"
"007",8,"BOOK_CHAPTER"
"0070",2,"ABSTRACT"
"0071",1,"ABSTRACT"
"008",3,"SPEAKER"
"0081",1,"ARTICLE"
"0084",2,"ABSTRACT"
"009",2,"ABSTRACT"
"009949",1,"ABSTRACT"
"010",2,"ABSTRACT"
"010",6,"ARTICLE"
"010",8,"BOOK"
"0100",4,"ARTICLE"
"0101",2,"ARTICLE"
"0102",7,"ARTICLE"
"0103",5,"ARTICLE"
"0104",2,"ARTICLE"
"01049321",2,"ABSTRACT"
"012",1,"ARTICLE"
"01275",2,"ABSTRACT"
"014",2,"ABSTRACT"
"01511",1,"ABSTRACT"
"016",1,"ABSTRACT"
"0165",2,"ABSTRACT"
"018",4,"ABSTRACT"
"0192",2,"ARTICLE"
"01em",2,"ARTICLE"
"020",1,"SPEAKER"
"020",8,"BOOK"
"022",2,"ABSTRACT"
"022097",2,"ABSTRACT"
"0221",3,"ARTICLE"
"0241",2,"ABSTRACT"
"0249",2,"ARTICLE"
"0257",2,"ARTICLE"
"026",2,"ABSTRACT"
"0260",1,"ABSTRACT"
"027",2,"ABSTRACT"
"0274",2,"ABSTRACT"
"02anos",1,"ABSTRACT"
"030",1,"SPEAKER"
"030",2,"ARTICLE"
"0301",5,"ARTICLE"
"0302",2,"ABSTRACT"
"032",2,"ABSTRACT"
"033",2,"ABSTRACT"
"034",4,"ABSTRACT"
"0352",2,"ABSTRACT"
"036",1,"ABSTRACT"
"0360",8,"ARTICLE"
"038",1,"ABSTRACT"
"041",2,"ABSTRACT"
"042",1,"SPEAKER"
"044",2,"ABSTRACT"
"045",2,"ARTICLE"
"045",3,"ABSTRACT"
"046",2,"ABSTRACT"
"047",2,"SPEAKER"
"0473",2,"ABSTRACT"
"048",4,"SPEAKER"
"0504",2,"ARTICLE"
"051",1,"ABSTRACT"
"053",8,"BOOK_CHAPTER"
"0548065009381104",2,"ABSTRACT"
"055",2,"ABSTRACT"
"0566",2,"ABSTRACT"
"0573",1,"ABSTRACT"
"05de",1,"ABSTRACT"
"0603575",1,"PATENT"
"061",4,"ABSTRACT"
"066",2,"ABSTRACT"
"067",1,"SPEAKER"
"069",1,"ABSTRACT"
"069",8,"BOOK_CHAPTER"
"0693",2,"ABSTRACT"
"071",2,"ABSTRACT"
"0718",2,"ABSTRACT"
"073",2,"ARTICLE"
"073",6,"ABSTRACT"
"074",1,"ABSTRACT"
"0743",4,"ABSTRACT"
"076",2,"ABSTRACT"
"077",2,"ABSTRACT"
"0795",1,"ABSTRACT"
"0798400075",2,"PATENT"
"0823863475769147",2,"ABSTRACT"
"0845",4,"ARTICLE"
"0879",2,"ARTICLE"
"08h",1,"SPEAKER"
"090",2,"ABSTRACT"
"0926",1,"ABSTRACT"
"0953",2,"ARTICLE"
"0957",2,"ABSTRACT"
"0968",2,"ABSTRACT"
"0982",2,"ARTICLE"
"0congresso",2,"SPEAKER"
"0correspondiente",1,"SPEAKER"
"0mev",2,"ARTICLE"
"0steoporis",2,"ARTICLE"
"100",12,"ABSTRACT"
"100",16,"BOOK_CHAPTER"
"100",19,"ARTICLE"
"100",59,"SPEAKER"
"100",96,"BOOK"
"1000",4,"ARTICLE"
"1000",53,"BOOK"
"1004",8,"ARTICLE"
"10066",1,"ABSTRACT"
"1007",1,"ARTICLE"
"1008",3,"ARTICLE"
"100ºc",2,"ARTICLE"
"100t",6,"ARTICLE"
"100th",1,"SPEAKER"
"100th",4,"ARTICLE"
"101",1,"ABSTRACT"
"101",6,"ARTICLE"
"101",16,"BOOK_CHAPTER"
"1010",4,"ARTICLE"
"10110",16,"BOOK_CHAPTER"
"10110",83,"ARTICLE"
"101110",2,"ARTICLE"
